,name,cb_url,domain,homepage_url,logo_url,short_description,t&c_filename,t&c_url,last_crawlel_date
10,Best Buy,https://www.crunchbase.com/organization/bestbuy?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,bestbuy.com,http://www.bestbuy.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1488038868/tyhzigkcuj2gkyjqnulc.png,Best Buy is a multinational retailer of technology and entertainment products and services offering consumer electronics and more.,,,
11,Grubhub,https://www.crunchbase.com/organization/grubhub?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,grubhub.com,http://www.grubhub.com,https://res.cloudinary.com/crunchbase-production/image/upload/c7y1rewcr36duo5sxmfu,Grubhub is a online and mobile food ordering and delivery marketplace dedicated to connecting diners with local restaurants.,,,
12,Gilt Groupe,https://www.crunchbase.com/organization/gilt-groupe?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,gilt.com,http://www.gilt.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1397182712/cbacc623ec47fab90f5231cc6281ae4e.jpg,"Gilt Groupe provides a shopping website that includes fashion for women, men, and children; home decor and unique activities.",,,
13,Apple,https://www.crunchbase.com/organization/apple?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,apple.com,http://www.apple.com,https://res.cloudinary.com/crunchbase-production/image/upload/s1cihnpc1cnekihotv0e,"Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.",,,
14,Etsy,https://www.crunchbase.com/organization/etsy?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,etsy.com,https://www.etsy.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1475508264/bjljj1do9xbdoo1vxury.png,Etsy is an e-commerce site and a smartphone application for buying and selling handmade and vintage items.,,,
15,TripAdvisor,https://www.crunchbase.com/organization/tripadvisor?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,tripadvisor.com,http://www.tripadvisor.com,https://res.cloudinary.com/crunchbase-production/image/upload/rpipyganawb3zocz3f6t,TripAdvisor is a travel site that enables travelers to plan and book their trip.,,,
16,The New York Times,https://www.crunchbase.com/organization/newyorktimes?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,nytimes.com,http://www.nytimes.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1491958734/bqp32una36b06hmbulla.png,"The New York Times creates, collects, and distributes news, information, and entertainment through a daily newspaper and a website.",,,
17,Intel,https://www.crunchbase.com/organization/intel?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,intel.com,http://www.intel.com/,https://res.cloudinary.com/crunchbase-production/image/upload/v1505768454/wrhwa2ogipbd1o6tgggi.png,"Intel designs, manufactures, and sells integrated digital technology platforms worldwide.",,,
18,Expedia,https://www.crunchbase.com/organization/expedia?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,expediagroup.com,https://www.expediagroup.com/,https://res.cloudinary.com/crunchbase-production/image/upload/taqpepcwzincpeytldot,"Expedia is an online travel agency that provides hotel reservations, airline tickets, and vacation packages.",,,
19,Craigslist,https://www.crunchbase.com/organization/craigslist?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,craigslist.org,http://www.craigslist.org,https://res.cloudinary.com/crunchbase-production/image/upload/v1491753995/qgf8b9y027xji2tam45m.png,"Craigslist is a classified advertisements website for jobs, personals, for sale and wanted items, services, résumés, and discussion forums.",,,
20,Netflix,https://www.crunchbase.com/organization/netflix?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,netflix.com,https://www.netflix.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1474467529/zlaaxu2whczitkpkxxk9.jpg,Netflix is an online platform that enables users to watch TV shows and movies.,,,
21,Dell,https://www.crunchbase.com/organization/dell?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,dell.com,https://www.dell.com,https://res.cloudinary.com/crunchbase-production/image/upload/mstqfthk6aaw2wa1hxkg,Dell transforms computing and provides high quality solutions that empower people to do more all over the world.,,,
22,QVC,https://www.crunchbase.com/organization/qvc?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,corporate.qvc.com,http://corporate.qvc.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1450257921/g0owhrdis2pheswfevzw.png,QVC is a video and ecommerce retailer offering various brands to customers around the globe.,,,
23,Logitech,https://www.crunchbase.com/organization/logitech?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,logitech.com,http://logitech.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1475254684/vpezfcrdsxmbmddsjgpl.jpg,Logitech designs and manufactures personal peripherals for the needs of personal computer and laptop users.,,,
24,GoDaddy,https://www.crunchbase.com/organization/godaddy?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,godaddy.com,http://godaddy.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1502741973/pvyhvrzojmfkaymcwjyi.png,GoDaddy is an internet domain registrar and web hosting company facilitating online businesses.,,,
25,J. Crew,https://www.crunchbase.com/organization/j-crew?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,jcrew.com,http://www.jcrew.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1476427389/dxealdfj5thft83evkx7.png,"J. Crew is a clothing retailer with outlet stores, and an online and catalog business.",,,
26,Bonobos,https://www.crunchbase.com/organization/bonobos?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,bonobos.com,http://www.bonobos.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1497632924/fzptkxafsqhdgtg2olj8.png,Bonobos is an e-commerce driven clothing brand focused on delivering great fit and excellent customer service.,,,
27,T-Mobile,https://www.crunchbase.com/organization/t-mobile?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,t-mobile.com,https://www.t-mobile.com/,https://res.cloudinary.com/crunchbase-production/image/upload/ucljplgb2y2vmf1fn8j1,T-Mobile is redefining the way consumers and businesses buy wireless services.,,,
28,Wayfair,https://www.crunchbase.com/organization/wayfair?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,wayfair.com,https://www.wayfair.com,https://res.cloudinary.com/crunchbase-production/image/upload/an3yqbdmkvimgvybbp0h,"Wayfair is an online retailer of home products for bedroom, living room, kitchen and dining, home entertainment, bathroom, and more.",,,
29,Spotify,https://www.crunchbase.com/organization/spotify?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,spotify.com,http://www.spotify.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1475248336/qmsen1jtcy8xgsghzc8z.jpg,Spotify is a commercial music streaming service that provides restricted digital content from a range of record labels and artists.,,,
30,Verizon,https://www.crunchbase.com/organization/verizon-communications?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,verizon.com,http://www.verizon.com/,https://res.cloudinary.com/crunchbase-production/image/upload/d4jr3mzalcpvrwkawjnn,Verizon Communications is a broadband and telecommunications company that provides information and entertainment services.,,,
31,Nike,https://www.crunchbase.com/organization/nike?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,nike.com,http://www.nike.com/,https://res.cloudinary.com/crunchbase-production/image/upload/vug8l7qigeetpmbvjw8v,"Nike designs, develops, and markets footwear, apparel, equipment, and accessory products.",,,
32,HBO,https://www.crunchbase.com/organization/hbo?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,hbo.com,https://www.hbo.com,https://res.cloudinary.com/crunchbase-production/image/upload/lr6ntovb8hu36yqscb2c,"HBO is a television company that offers two 24-hour premium TV services, HBO and Cinemax.",,,
33,LivingSocial,https://www.crunchbase.com/organization/livingsocial?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,livingsocial.com,http://www.livingsocial.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1397190409/5db87f5c3292bbd1d47f2033eafb4c68.jpg,LivingSocial provides an online local marketplace to buy and share things.,,,
34,Minted,https://www.crunchbase.com/organization/minted?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,minted.com,http://www.minted.com,https://res.cloudinary.com/crunchbase-production/image/upload/t0sdjhbqoqakhfnqnpmj,Minted is a design marketplace that connects users with artists to help them create something one-of-a-kind.,,,
35,Airbnb,https://www.crunchbase.com/organization/airbnb?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,airbnb.com,http://airbnb.com,https://res.cloudinary.com/crunchbase-production/image/upload/bomkrvppqn1pssoqsxqy,"Airbnb is an online community marketplace for people to list, discover, and book accommodations through mobile phones or the internet.",,,
36,Lyft,https://www.crunchbase.com/organization/lyft?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,lyft.com,http://lyft.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1503516379/itaficheuuvishhus6is.png,"Lyft designs, markets, and operates a mobile application that matches drivers with passengers who request rides.",,,
37,Fitbit,https://www.crunchbase.com/organization/fitbit?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,fitbit.com,http://www.fitbit.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1483459525/q0p6y08youqz0aesms2u.png,"Fitbit offers compact, wireless, wearable sensors that track a person’s daily activities in order to promote a healthy lifestyle.",,,
38,Chegg,https://www.crunchbase.com/organization/chegg?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,chegg.com,http://www.chegg.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1397192562/4501c2fcfe531b567e7e952211d31e50.jpg,Chegg is a student media learning platform offering services to universities and community colleges.,,,
39,Groupon,https://www.crunchbase.com/organization/groupon?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,groupon.com,http://www.groupon.com,https://res.cloudinary.com/crunchbase-production/image/upload/x69dx8bxfokusrqdzioz,Groupon is a deal-of-the-day website that offers discounted gift certificates usable at local or national companies.,,,
40,Guitar Center,https://www.crunchbase.com/organization/guitar-center?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,guitarcenter.com,http://www.guitarcenter.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1397195264/106b10383c9519dd0694d90005a26b67.png,"Guitar Center, Inc. operates a chain of guitar and amplifier stores.",,,
41,Away,https://www.crunchbase.com/organization/away-2?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,awaytravel.com,https://www.awaytravel.com/,https://res.cloudinary.com/crunchbase-production/image/upload/v1439329479/rsjgztjqctj5i66xed2e.png,Away is a modern travel and lifestyle brand designed with thoughtful features that solve real travel problems,,,
42,Dunkin' Donuts,https://www.crunchbase.com/organization/dunkin-donuts?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,dunkindonuts.com,http://www.dunkindonuts.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1397197228/16e8a5c612b335e2e9f324803608458b.gif,"Dunkin' Donuts is the largest coffee and baked goods chain in the world providing you, their loyal customers, with high quality coffee,",,,
43,Staples,https://www.crunchbase.com/organization/staples?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,staples.com,http://www.staples.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1474641785/dpl9lb22fiqpy24iae5p.jpg,"Staples Easy Rebates is an online platform that enables Staples customers to submit, track, and find rebates.",,,
44,GameStop,https://www.crunchbase.com/organization/gamestop?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,gamestop.com,https://www.gamestop.com,https://res.cloudinary.com/crunchbase-production/image/upload/xey8ugxgt8e45rrf5rwe,GameStop is a video games and entertainment software retailer operating thousands of retail stores.,,,
45,Target,https://www.crunchbase.com/organization/target?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,target.com,https://www.target.com/,https://res.cloudinary.com/crunchbase-production/image/upload/v1488038765/ivdunwyp36eoaoifupsr.png,"Target is an American retailing company providing access to a wide selection of products such as furniture, electronics, toys, and more.",,,
46,ThredUp,https://www.crunchbase.com/organization/thredup?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,thredup.com,http://www.thredup.com,https://res.cloudinary.com/crunchbase-production/image/upload/navnseynrnaowfsgzitr,ThredUp is a fashion resale marketplace that enables individuals to buy and sell clothing for women and children.,,,
47,Adidas,https://www.crunchbase.com/organization/adidas?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,adidas.com,http://www.adidas.com,https://res.cloudinary.com/crunchbase-production/image/upload/nkmockkfyvao3vn1euux,"Adidas is a global sports brand that manufactures apparel, accessories, and footwear for professional athletes involved in various sports.",,,
48,Webvan,https://www.crunchbase.com/organization/webvan?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,webvan.com,http://www.webvan.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1398240204/y0hkemlj4wavvpjrudqp.png,"Webvan Group, an internet retailer, offers delivery services by integrating its web store with a distribution facility and delivery system.",,,
49,Living Proof,https://www.crunchbase.com/organization/living-proof?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,livingproof.com,http://www.livingproof.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1397182208/0ef061c0fc92965908e1a42aca6c6065.jpg,Living Proof is a biotechnology company developing product formulae to solve beautycare problems.,,,
50,Lenovo,https://www.crunchbase.com/organization/lenovo?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,lenovo.com,http://www.lenovo.com,https://res.cloudinary.com/crunchbase-production/image/upload/pppneceituu7o2rci4nh,"Lenovo Group is a computer technology company that manufactures personal computers, smartphones, televisions, and wearable devices.",,,
51,Roblox,https://www.crunchbase.com/organization/roblox?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,corp.roblox.com,https://corp.roblox.com,https://res.cloudinary.com/crunchbase-production/image/upload/rbgebzd54uexaaqdnzrs,Roblox is an online gaming and entertainment platform offering a shared digital experience that brings people together through play.,,,
52,Epson,https://www.crunchbase.com/organization/epson?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,epson.com,http://epson.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1456173432/nhhm9hmxbuqynucp0qwy.png,"Epson America designs, manufactures, and sells image capture and output products.",,,
53,Walmart,https://www.crunchbase.com/organization/walmart?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,walmart.com,http://www.walmart.com,https://res.cloudinary.com/crunchbase-production/image/upload/v0jmsmsxr8nqwcrsdvh5,Walmart is a multinational retail corporation that operates several chains of discount department and warehouse stores.,,,
54,Nordstrom,https://www.crunchbase.com/organization/nordstrom?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,nordstrom.com,http://www.nordstrom.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1397188032/004af22b3e953a1adf225f3ee457849a.gif,"Nordstrom is an online fashion retailer offering apparel, shoes, cosmetics and accessories for women, men and children.",,,
55,FreshDirect,https://www.crunchbase.com/organization/fresh-direct?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,freshdirect.com,http://freshdirect.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1474908164/bmlpicqmsfbuwhloflan.jpg,FreshDirect delivers fresh food to residences and offices in the New York metropolitan area.,,,
56,Net-a-porter.com,https://www.crunchbase.com/organization/net-a-porter-com?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,net-a-porter.com,http://www.net-a-porter.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1397188598/9ed367e94f0db0b295748e854626a830.gif,Net-a-porter.com is an online luxury fashion retailer.,,,
57,Udemy,https://www.crunchbase.com/organization/udemy?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,udemy.com,http://www.udemy.com,https://res.cloudinary.com/crunchbase-production/image/upload/dznpop2xgfwkwt5sn8cb,"Udemy is an online learning platform that helps students, companies, and governments gain the skills they need to reach their goals.",,,
58,Wine.com,https://www.crunchbase.com/organization/wine-com?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,wine.com,http://wine.com,https://res.cloudinary.com/crunchbase-production/image/upload/hscwtugtlzupifwp7rlo,"Wine.com is an online wine retailer, offering selection, guidance, and convenience not found in brick and mortar stores.",,,
59,Whirlpool,https://www.crunchbase.com/organization/whirlpool?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,whirlpoolcorp.com,http://www.whirlpoolcorp.com,https://res.cloudinary.com/crunchbase-production/image/upload/gxnqjkjc3536itj3revf,Whirlpool manufactures and markets major home appliances.,,,
60,RetailMeNot,https://www.crunchbase.com/organization/whale-shark-media?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,retailmenot.com,http://www.retailmenot.com/,https://res.cloudinary.com/crunchbase-production/image/upload/jlm8meqicqt7qg6145of,RetailMeNot is a marketplace for online coupons and deals that operates a portfolio of coupon and deal websites.,,,
61,zulily,https://www.crunchbase.com/organization/zulily?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,zulily.com,http://www.zulily.com,https://res.cloudinary.com/crunchbase-production/image/upload/ohtfy5u4qiii0wm9edge,zulily is an online retailer that offers consumers with daily product deals.,,,
62,Petco,https://www.crunchbase.com/organization/petco?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,petco.com,http://petco.com,https://res.cloudinary.com/crunchbase-production/image/upload/rqzw4zfpbkl0lkqmr6kc,"Petco is a pet specialty retailer providing products, services, and advice for pet owners.",,,
63,Rent the Runway,https://www.crunchbase.com/organization/rent-the-runway?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,renttherunway.com,http://www.renttherunway.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1475675746/ipx2to9dztqj5gdaccq6.jpg,Rent the Runway is an online e-commerce website that allows women to rent designer apparel and accessories.,,,
64,Under Armour,https://www.crunchbase.com/organization/under-armour?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,underarmour.com,http://underarmour.com,https://res.cloudinary.com/crunchbase-production/image/upload/cpqhtc9ggt7zmwqziusa,"Under Armour is a manufacturer of footwear, sport, and casual apparel.",,,
65,MADE,https://www.crunchbase.com/organization/made?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,made.com,http://www.made.com,https://res.cloudinary.com/crunchbase-production/image/upload/lv2iusiwzimivkh50vvg,Made.com is an online e-commerce platform directly providing designer furniture without third party involvement.,,,
66,Klarna,https://www.crunchbase.com/organization/klarna?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,klarna.com,http://www.klarna.com,https://res.cloudinary.com/crunchbase-production/image/upload/i7yjhhitbze4kylwmbfy,Klarna is an eCommerce payment solutions platform for merchants and shoppers.,,,
67,Dillard's,https://www.crunchbase.com/organization/dillards?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,dillards.com,http://www.dillards.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1397184704/09841e86f70cb13e455d6e8fe1ef2ac1.jpg,"Dillard's, Inc. is a mid-range department store chain in the United States",,,
68,Uber,https://www.crunchbase.com/organization/uber?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,uber.com,http://www.uber.com,https://res.cloudinary.com/crunchbase-production/image/upload/r3brbjf6y7thcnqhchq2,"Uber develops, markets, and operates a ride-sharing mobile application that allows consumers to submit a trip request.",,,
69,Farfetch,https://www.crunchbase.com/organization/farfetch?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,farfetch.com,https://www.farfetch.com/,https://res.cloudinary.com/crunchbase-production/image/upload/wko3ka42ewzfyanrvm9h,Farfetch is an online luxury fashion retail platform.,,,
70,McDonald's,https://www.crunchbase.com/organization/mcdonalds?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,mcdonalds.com,http://www.mcdonalds.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1488033482/jk6fbjxfaau54o4xyoff.png,"McDonald's is a global foodservice retailer generating revenue through company-owned restaurants, franchise royalties, and licensing pacts.",,,
71,Overstock,https://www.crunchbase.com/organization/overstock-com?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,overstock.com,http://overstock.com,https://res.cloudinary.com/crunchbase-production/image/upload/vlavwip8n7hon0qbwiqs,Overstock.com operates as an online retailer for brand names at clearance prices.,,,
72,"Toys ""R"" Us",https://www.crunchbase.com/organization/toys-r-us?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,toysrus.com,https://www.toysrus.com/,https://res.cloudinary.com/crunchbase-production/image/upload/v1428675721/wyhvelyxsmkkkjenkzau.png,"Toys “R” Us is a toy and baby products retailer, offering a wide range of products globally. ",,,
73,Rue La La,https://www.crunchbase.com/organization/rue-la-la?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,ruelala.com,http://www.ruelala.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1397193042/7307099d4e0151ef43ed071ba478ee72.jpg,Rue La La is members-only e-commerce site that allows users to discover private sale boutiques.,,,
74,Birchbox,https://www.crunchbase.com/organization/birchbox?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,birchbox.com,http://www.birchbox.com,https://res.cloudinary.com/crunchbase-production/image/upload/tqxyskmiocehym8erpd6,Birchbox is a New York-based online subscription service that specializes in makeup and other beauty related products.,,,
75,Shopbop,https://www.crunchbase.com/organization/shopbop?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,shopbop.com,http://www.shopbop.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1397198549/b3b0b83440f17cad3497b7e270098f5e.jpg,"Shopbop is an online boutique for clothing, footwear, bags and accessories.",,,
76,Dyson,https://www.crunchbase.com/organization/dyson?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,dyson.com,http://www.dyson.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1461954713/gbwjj0tpa6a6wgvcjndq.png,"Dyson is a global technology company that designs iconic reinventions that work, perform and look very different.",,,
77,GoPro,https://www.crunchbase.com/organization/gopro?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,gopro.com,https://gopro.com/,https://res.cloudinary.com/crunchbase-production/image/upload/v1478207310/kl07o8cyhcvzpxejtxh0.png,GoPro is a brand of personal cameras used in extreme action video photography.,,,
78,Warby Parker,https://www.crunchbase.com/organization/warby-parker?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,warbyparker.com,http://www.warbyparker.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1475508494/vxws7rmrflxsel6ftido.jpg,Warby Parker is a lifestyle brand that offers designer eyewear while being a socially conscious business.,,,
79,Moda Operandi,https://www.crunchbase.com/organization/moda-operandi?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,modaoperandi.com,http://modaoperandi.com,https://res.cloudinary.com/crunchbase-production/image/upload/qipz7ltje8xatraaovnj,Moda Operandi is a platform for emerging fashion designers and retailers.,,,
80,Fujifilm,https://www.crunchbase.com/organization/fujifilm?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,fujifilm.com,http://www.fujifilm.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1488698448/zolgfdueyohpxkvuotl7.png,Fujifilm develops and sells consumer products and business products related to photography.,,,
81,Postmates,https://www.crunchbase.com/organization/postmates?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,postmates.com,https://postmates.com/,https://res.cloudinary.com/crunchbase-production/image/upload/bxak1ha3nvzq0kmtdu4i,Postmates is an on-demand food delivery platform that gives customers access to restaurants and retailers.,,,
82,Yotpo,https://www.crunchbase.com/organization/yotpo?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,yotpo.com,http://www.yotpo.com,https://res.cloudinary.com/crunchbase-production/image/upload/ovs50claenchnheohzm9,Yotpo is an eCommerce marketing platform that helps brands accelerate their direct-to-consumer growth.,,,
83,Everlane,https://www.crunchbase.com/organization/everlane?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,everlane.com,http://www.everlane.com,https://res.cloudinary.com/crunchbase-production/image/upload/sxxh0n2cthr91o1zb99f,"Everlane designs, manufactures, and sells clothing items for men and women via online e-commerce website.",,,
84,Enjoy,https://www.crunchbase.com/organization/enjoy?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,enjoy.com,https://www.enjoy.com,https://res.cloudinary.com/crunchbase-production/image/upload/v1414379993/ggimdqr8yls01njymt1t.png,Enjoy Technology is a platform that offers same-day delivery services and operates mobile retail stores.,,,
85,Capsule,https://www.crunchbase.com/organization/capsule-3?utm_source=crunchbase&utm_medium=export&utm_campaign=odm_csv,capsule.com,https://capsule.com/,https://res.cloudinary.com/crunchbase-production/image/upload/v1463487324/x40wzghtg8tpctaz04q0.png,Capsule is a healthcare technology business rebuilding the pharmacy from the inside out,,,
